# RxNorm current prescribable content 2026-09-08: 79604 FDA products keyed by labeler-product digits, their RXCUI, and the clinical drug a brand is a tradename of. Courtesy of the U.S. National Library of Medicine (NLM), National Institutes of Health, Department of Health and Human Services; NLM is not responsible for the product and does not endorse or recommend this or any other product.
000240674	2747135	2747132
000241171	213169	309362
000241332	749198	749196
000241596	904170	
000242792	261123	242761
000242794	261123	242761
000244142	854859	854856
000244512	2564152	
000245150	1790347	1790344
000245151	1790351	1790349
000245401	854878	854876
000245421	854875	854873
000245761	1859000	1858995
000245824	1376084	1001433
000245840	1723194	1723193
000245841	1723189	1723187
000245851	153666	200095
000245852	153667	200096
000245855	823934	310792
000245856	823938	310793
000245862	828703	828700
000245869	1604544	1604539
000245871	2002420	2002419
000245901	1659183	1659182
000245902	1659161	1659156
000245908	1923338	1923333
000245910	1923347	1923345
000245914	1876406	1876401
000245915	2375329	2375327
000245918	2099302	2099300
000245919	2559707	2559706
000245920	2003757	2003755
000245922	2003767	2003766
000245924	1992169	242120
000245925	1992171	1652639
000245926	1992169	242120
000245927	2705739	2705733
000245928	2705745	2705741
000250061	1190641	1190572
000250166	1797880	1797878
000250325	2668071	2668064
000250328	2668078	2668074
000250333	2668096	2668095
000251001	200820	313096
000251031	200825	198222
000251041	200817	198223
000251411	1359107	857706
000251421	1359109	1359105
000251451	209177	311727
000251461	104098	317128
000251942	687211	199055
000252752	209066	309958
000252762	209692	309960
000310100	2680300	
000310101	2374554	
000312059	2056073	
000312097	1020138	
000312098	1020138	
000312099	2362250	
000312102	2722413	
000312103	2056073	
000312834	2056073	
000318655	1373045	
000318692	1111440	
000318693	1111440	
000318694	1370211	
000318702	1790650	
000318715	1020138	
000318716	1370205	
000318718	1115329	
000318719	1111663	
000318725	1373045	
000318726	1373045	
000318739	1020138	
000318742	1044949	
000318743	1090487	
000318744	1094549	
000318750	1919076	
000318751	1116572	
000318752	1375932	
000318753	1373045	
000318754	1373045	
000318755	1373045	
000318756	1020138	
000318757	1790650	
000318758	1115329	
000318759	1790650	
000318760	1790650	
000318762	1115329	
000318765	1099074	
000318770	2374554	
000318771	1919076	
000319301	198440	
000319302	1090487	
000319306	1301246	
000319307	1301246	
000319310	2173731	
000319311	2685210	
000320045	1113046	1113042
000320046	863836	855499
000320047	863841	855503
000321203	1113046	1113042
000321206	863836	855499
000321212	863841	855503
000321224	863829	855495
000322636	863829	855495
000322637	1373327	1373325
000323016	1373327	1373325
000370066	206798	238151
000370245	1797849	1797847
000370430	209026	198358
000370431	209027	198359
000370678	831269	831261
000372001	213695	197446
000372250	730918	730794
000374401	207370	198071
000374801	706467	226597
000376010	836645	836641
000376050	836649	836647
000376321	1048340	1048336
000376822	828364	828362
000376823	828367	828365
000376824	904783	904782
000376830	1545174	1545172
000376860	905164	905162
000460749	211975	310203
000460872	688242	688240
000461100	208513	197660
000461101	404550	403849
000461102	150840	310197
000461103	208949	197661
000461104	202301	197662
000461105	1000491	1000490
000461106	1000497	1000496
000461107	1000499	1000395
000461108	1000500	1000398
000462575	1000487	1000486
000490013	1659595	1659592
000490014	1659600	1659598
000490024	205843	240984
000490114	1804746	1804743
000490116	1804750	1804748
000490174	865573	314006
000490352	285127	314286
000490354	284548	313776
000490356	284549	313777
000490358	284550	313778
000490420	995906	863538
000490430	995906	863538
000490520	995906	863538
000490530	995906	863538
000492242	1804750	1804748
000492512	104368	197626
000492614	104369	197627
000492716	205544	197628
000493160	546624	465355
000493180	352219	349434
000493190	352220	351209
000493450	201901	310353
000494190	352220	351209
000520602	213744	1653484
000530100	2626781	2626780
000530110	2626783	2626782
000530120	2626785	2626784
000530130	2626787	2626786
000530140	2626789	2626788
000530150	2626791	2626790
000530160	2626793	2626792
000530170	2626795	2626794
000530180	2626797	2626796
000530190	2626799	2626798
000530200	2626801	2626800
000530210	2626803	2626802
000530220	2626805	2626804
000530230	2626807	2626806
000530240	2626809	2626808
000530250	2626811	2626810
000530260	2626813	2626812
000530270	2626815	2626814
000530280	2626817	2626816
000530290	2626819	2626818
000530300	2626830	2626829
000530310	2626832	2626831
000530320	2626834	2626833
000530330	2626836	2626835
000530340	2626838	2626837
000530350	2626840	2626839
000530360	2627142	2627141
000530370	2626844	2626843
000530380	2626846	2626845
000530390	2626848	2626847
000530400	2626860	2626859
000530410	2626858	2626857
000530420	2626856	2626855
000530430	2626854	2626853
000530440	2626852	2626851
000530450	2626850	2626849
000530460	2626825	2626824
000530470	2626823	2626822
000530480	2626821	2626820
000540007	308867	
000540010	886662	
000540011	886666	
000540012	886671	
000540017	198145	
000540018	312615	
000540019	198148	
000540020	197892	
000540021	197891	
000540045	1797833	
000540046	1797844	
000540057	393245	
000540062	309313	
000540064	312085	
000540077	198371	
000540079	885857	
000540084	313762	
000540085	313761	
000540088	359296	
000540106	845488	
000540107	198188	
000540108	198189	
000540109	261962	
000540137	860901	
000540140	200132	
000540141	199149	
000540142	199150	
000540166	200060	
000540176	351264	
000540177	351265	
000540188	351266	
000540189	351267	
000540220	312744	
000540221	312743	
000540222	317174	
000540223	312745	
000540229	616487	
000540230	616483	
000540235	892582	
000540236	892672	
000540237	892589	
000540238	894780	
000540243	997170	
000540244	997287	
000540245	997296	
000540254	310792	
000540255	310793	
000540273	835572	
000540274	835591	
000540275	835589	
000540276	835577	
000540278	311918	
000540279	314135	
000540282	904447	
000540283	977939	
000540284	977942	
000540319	311345	
000540326	896184	
000540327	896209	
000540328	896228	
000540334	309140	
000540370	854830	
000540371	854834	
000540372	854838	
000540373	854850	
000540374	854846	
000540375	854842	
000540382	1437968	
000540383	1437969	
000540386	897657	
000540389	977860	
000540390	1049604	
000540391	991147	
000540392	991147	
000540400	1874559	
000540401	1874553	
000540413	834235	
000540414	834241	
000540425	824295	
000540426	824301	
000540438	197873	
000540449	665019	
000540470	977427	
000540471	977434	
000540472	977438	
000540480	998189	
000540481	845515	
000540482	845507	
000540497	1119400	
000540508	1304979	
000540517	892625	
000540528	1092357	
000540576	389242	
000540603	1607617	
000540604	2056895	
000540621	1811180	
000540622	991082	
000540650	1431286	
000540652	199521	
000540660	1593856	
000540668	799835	
000540709	864718	
000540710	864706	
000540711	2180997	
000540742	2123111	
000540748	991061	
000540749	2107345	
000540750	2107353	
000540812	198181	
000540821	2478433	
000540829	260243	
000540830	312641	
000540843	1044427	
000540879	1536484	
000540906	1486687	
000540936	1148809	
000540937	1148797	
000540938	1148800	
000540939	1148803	
000540940	1148807	
000540942	825411	
000540943	825413	
000540945	825409	
000540962	1245001	
000540963	825421	
000540964	825427	
000540965	884617	
000541100	582299	
000541110	476271	
000541950	197819	
000542526	311355	
000542527	197889	
000542531	197893	
000543000	993943	
000543068	308050	
000543090	886634	
000543120	313932	
000543176	309684	
000543177	309686	
000543185	309844	
000543188	309843	
000543194	1190568	
000543270	1797907	
000543294	197730	
000543298	197731	
000543500	1010739	
000543505	1010878	
000543532	311376	
000543545	861479	
000543553	991147	
000543555	864761	
000543556	864769	
000543566	422410	
000543630	311913	
000543721	205301	
000543722	315187	
000543727	856724	
000543730	856733	
000544146	309371	
000544179	197577	
000544180	343033	
000544181	197579	
000544182	197580	
000544183	197581	
000544184	197582	
000544186	197583	
000544297	310429	
000544299	313988	
000544301	197732	
000544496	197863	
000544497	197860	
000544498	197861	
000544499	197862	
000544527	197890	
000544538	1990745	864978
000544550	105585	
000544581	197931	
000544582	1536484	
000544728	312617	
000544741	198144	
000544742	198146	
000548174	197579	
000548175	197582	
000548176	197581	
000548179	197577	
000548180	343033	
000548181	197580	
000548183	197583	
000548297	310429	
000548299	313988	
000548301	197732	
000548496	197863	
000548526	311355	
000548527	197889	
000548528	197890	
000548724	312617	
000548739	198144	
000548740	198146	
000549628	349482	
000549817	198145	
000549818	312615	
000549828	312617	
000650023	991606	308966
000650085	1046266	1043658
000650303	1190664	1190655
000650343	1234571	
000650349	1234579	
000650355	208660	314238
000650359	1298360	1298068
000650395	1298366	1298072
000650396	1298356	1298066
000650397	1298364	1298070
000650408	142002	
000650411	1149663	312570
000650419	1088217	309714
000650426	900141	900138
000650429	477589	
000650431	477589	
000650454	895753	
000650474	310932	
000650481	1041798	
000650509	706820	
000650518	706820	
000650741	1547771	
000650795	806396	806392
000650816	2474007	1601086
000650817	1190655	
000651431	477589	
000651432	477589	
000651433	1041798	
000651437	477589	
000651502	1989901	
000651507	477589	
000651509	1041798	
000651510	477589	
000651530	1041798	
000651795	806396	806392
000653290	2265162	
000654011	284380	311237
000654147	1421456	1421451
000654274	2281304	1111339
000658063	309714	
000658064	793204	310932
000658067	895753	
000658150	1111345	1111343
000658595	2716826	2716821
000659305	1088217	309714
000659307	2055286	2055281
000659308	2265162	
000670100	2670598	
000670101	2670677	
000670103	2670678	
000670104	1042695	
000670105	1294607	
000670106	2670678	
000670107	2695452	
000670109	1000990	
000670110	1000990	
000670111	2685209	
000670112	2691689	
000670114	2049283	
000670115	1369927	
000670117	210295	314221
000670118	2590817	1741562
000670119	2590817	1741562
000670122	2679426	
000670123	2679426	
000670129	210295	314221
000672000	209468	308297
000672001	209468	308297
000672002	209468	308297
000672003	209468	308297
000672021	209468	308297
000672035	209468	308297
000672039	209468	308297
000672040	209468	308297
000672042	209468	308297
000672056	1593116	1593110
000672086	1087043	
000672200	198440	
000676094	1659967	
000676095	1659960	
000676274	860055	252294
000676275	210299	198852
000676283	2119393	412111
000676426	1189316	
000676800	1659967	
000676801	1659175	
000676802	1189316	
000676803	1659960	
000676804	2640034	
000677917	1659967	
000677918	1659960	
000677919	2640034	
000677921	2636656	
000677922	2636658	
000677923	2636659	
000678075	2716712	2477951
000678125	1803669	
000678127	1113705	
000678129	1298348	
000678132	1369842	
000678136	1094538	
000678137	1233575	
000678139	404172	307686
000678140	213071	251020
000678141	213072	200162
000678142	213073	251292
000678143	404318	200162
000678145	1110988	
000678152	855635	855633
000678153	855635	855633
000678154	855635	855633
000678161	2604579	
000678200	2640034	
000678201	209468	308297
000678202	209468	308297
000678203	209468	308297
000678204	1359455	
000678205	2604562	
000678206	2604635	
000678211	1659967	
000678212	1659960	
000680597	207436	312821
000680660	207436	312821
000690043	1658647	
000690106	1292881	1292879
000690135	1307630	1307624
000690136	1307635	1307633
000690145	1243010	1243004
000690151	1243014	1243012
000690187	1601394	1601392
000690188	1601386	1601380
000690189	1601390	1601388
000690193	1987734	1987732
000690195	978727	978725
000690196	978735	978733
000690197	2058922	2058915
000690206	978737	978736
000690209	1808224	
000690217	978757	978755
000690220	978741	978740
000690223	978745	978744
000690227	2103175	2103169
000690228	978747	978746
000690231	2103179	2103177
000690232	978778	978777
000690234	1808222	
000690235	2591495	2591493
000690238	2273517	2273512
000690242	810075	810071
000690244	810079	810077
000690248	1808217	
000690249	2273521	2273520
000690251	2670174	2670172
000690252	2639962	2639960
000690253	2618842	2618839
000690255	1790099	
000690274	2668057	2668051
000690277	1790099	
000690284	2284108	2284107
000690291	2057205	2057200
000690292	2057216	2057215
000690293	2057212	2057209
000690294	2057219	2057218
000690296	2099952	2099946
000690298	2105860	2105858
000690305	2280737	2280732
000690308	2472794	2472791
000690315	2268044	2268039
000690324	2469340	2469335
000690334	2641607	2641601
000690335	2591487	2591481
000690342	2268048	2268047
000690343	1790100	
000690353	2099952	2099946
000690358	1790097	
000690400	1668240	1668238
000690435	2591491	2591489
000690454	2639966	2639964
000690468	637188	636671
000690469	795735	749788
000690471	795737	749289
000690486	2284104	2284102
000690501	1741049	1741046
000690502	2273115	2273113
000690504	2672328	2669665
000690505	2644523	2644517
000690507	2670178	2670176
000690520	2644529	2644526
000690546	2591512	2591510
000690550	616283	616279
000690655	2591521	2591520
000690688	2284106	2284105
000690757	2099956	2099954
000690770	616287	616285
000690775	2745186	2745185
000690809	1790546	1790541
000690830	1541928	1541890
000690980	616292	616289
000691001	1357547	1357541
000691002	2048568	2048566
000691014	2672326	2669663
000691029	2478437	2478433
000691195	2099956	2099954
000691198	2058926	2058924
000691305	2047602	2047600
000691306	2047608	2047606
000691307	2047614	2047612
000691308	2047596	2047591
000691309	2047623	2047621
000691311	2463737	2463735
000691318	2463733	2463731
000691442	1191138	
000691500	2670170	2670166
000691501	2591512	2591510
000691510	2697154	2697150
000691520	212542	308136
000691530	212549	197361
000691531	2105856	2105850
000691540	212575	308135
000691542	1191138	
000691975	2168548	2168542
